date,d2m,t2m,ssr,str,tp,sp
1980-01-01,284.7073927447104,288.8019522139182,1.264042144083495E7,-6296947.903338032,0.023517192349553837,96982.78174659658
1980-01-02,284.56699122734824,288.66054933727594,1.0808823882624755E7,-4896494.493179043,1.249890232281402,97039.35520983032
1980-01-03,285.67267865157424,289.59018098816153,1.13044751136693E7,-5102765.290660329,0.06175385525481081,97079.69926302698
1980-01-04,284.27344739996914,289.18892696953435,1.3419895018836943E7,-7066142.594234742,0.02050938755384154,97211.50766927731
1980-01-05,283.50228901142634,288.5744555885107,1.3933692965791713E7,-7516773.407220943,0.004216219798280472,97155.41568645138
1980-01-06,283.007643826585,288.2170752854301,1.3839515715729946E7,-7328962.022342571,0.0037948043668944195,97180.33754764558
1980-01-07,282.51918832605213,287.55206825861984,1.417297734620291E7,-7675743.133060458,0.003183575145298482,97254.64483064058
1980-01-08,282.9862323599508,288.2251219381813,1.4413040533750901E7,-7631226.831108656,8.649525980273846E-4,97133.50929218752
1980-01-09,283.23168603682655,288.4650832843483,1.4397574766057469E7,-7484604.108387482,0.0013575570054755424,96996.89600313643
1980-01-10,283.29310694852876,288.43646730573755,1.4020793852803512E7,-7067503.802228919,0.00789234189445588,96881.57259193831
1980-01-11,283.03104602103605,287.7703678993035,1.3447797111679439E7,-6848237.570897245,0.022954828404780095,97023.41461195597
1980-01-12,282.3114050501383,287.6329841005621,1.418715903221844E7,-7356488.587597413,0.005456251131155742,97153.94072090193
1980-01-13,282.5765241667341,288.37820178286916,1.444690716656763E7,-7205070.915337314,0.0017538528605465687,97189.89863015007
1980-01-14,282.50308152450754,288.633514960993,1.467580708464934E7,-7520683.844643733,0.0044465306283025035,97257.6048510194
1980-01-15,281.42447121264996,288.05515543909377,1.4758755984708779E7,-7815974.332621085,0.0019147668031362273,97293.326116041
1980-01-16,280.6876390169646,287.63606303807,1.4950909032538949E7,-7857300.303040226,0.0022470601143325846,97231.83962411885
1980-01-17,281.156151261415,287.9625085291577,1.4828677424502037E7,-7609453.846500048,0.001413755997107247,97246.45707082874
