date,d2m,t2m,ssr,str,tp,sp
1980-01-01,286.2909628068222,291.8198246365307,1.3003298317706937E7,-6790747.711224217,0.0011011962064254297,100567.44687444193
1980-01-02,285.4584075695425,291.8248411707073,1.315315003911064E7,-6313263.388695419,0.001692491967754024,100604.83614089605
1980-01-03,287.3243742846668,292.76918010795123,1.1762052024645057E7,-5393141.07795339,0.0010322833237720848,100647.39430365573
1980-01-04,286.195044893656,292.3685546889987,1.2425672542727033E7,-6651848.021430486,0.0030031284836695704,100779.49735668012
1980-01-05,284.2798879781634,291.03881119340537,1.3867676843825342E7,-7643956.236271096,0.0016959755271273025,100767.62235149166
1980-01-06,283.40931325504226,290.8468506674499,1.4039030627377447E7,-7325471.672113581,8.702277796146518E-4,100802.1983422941
1980-01-07,282.5958574168841,289.8078347204498,1.4977937429413341E7,-8664866.499330297,0.0012943022511535673,100870.97894661527
1980-01-08,284.31497014591827,290.326845643733,1.491828842593089E7,-8171103.12349317,8.642672355563263E-4,100733.69950210922
1980-01-09,284.60794924182414,290.5461522708759,1.4859385743905704E7,-7861063.566568444,0.0012953673262927623,100599.58748012692
1980-01-10,284.89007727875656,290.69671404801346,1.4777987954995982E7,-7439839.405304045,0.0021517271306947805,100493.53666940304
1980-01-11,284.5342583465985,290.5146119427453,1.4673582852397535E7,-7761937.141173321,8.52346317969932E-4,100633.67959258184
1980-01-12,282.82789633395214,290.2676915404562,1.5105451022769893E7,-8232276.856147869,0.0034347348218943807,100762.89300985649
1980-01-13,283.667718337044,291.5321673233069,1.4791605309402626E7,-7254626.3418162335,0.0017166130419354886,100783.49747043368
1980-01-14,284.49857832663974,292.1896401623422,1.4980722115188856E7,-7773133.269220467,0.0038564185160794295,100846.37559793635
1980-01-15,283.8887546301548,292.03289528107666,1.5066170280739352E7,-7972020.921778732,4.351138045421976E-4,100884.375744085
1980-01-16,282.60511386342347,291.5196687955708,1.5399556210554514E7,-8303125.135012055,0.0012829981983486505,100824.05468379395
1980-01-17,283.5440251372288,292.0660863498756,1.521733545995178E7,-7686333.440128583,8.503396884407266E-4,100830.67269970219
1980-01-18,285.4791975468437,292.9659361561256,1.5007006783284219E7,-7213087.022769891,4.5001496573604527E-4,100936.3950933904
1980-01-19,285.9695014275763,293.16821873308305,1.521560992124297E7,-7299815.821591213,0.002150900400010869,100938.62820380343
1980-01-20,286.41102595907927,293.3338102781301,1.3438901834449507E7,-6778981.010983124,8.642672355563263E-4,100842.4216936658
1980-01-21,285.23440636897874,292.8670821710616,1.5385606070184838E7,-7712382.701580498,8.553266184208042E-4,100756.29763656878
1980-01-22,284.6528094712619,292.6396897623651,1.5612773273506563E7,-7699924.78274846,0.0,100598.76541331992
1980-01-23,285.6979312768993,293.27451483587436,1.2998047316367533E7,-5411652.187516742,0.011044446063814066,100451.71285500345
1980-01-24,285.5961948317793,293.413466430134,1.4574045493704796E7,-7306023.9823198505,8.583068620282575E-4,100583.1196123381
1980-01-25,284.2122162146934,292.7397596148234,1.6003147079560675E7,-8409875.38387356,0.0012962817663719761,100573.02588897797
1980-01-26,284.01077567314354,292.37475637968487,1.603176877042593E7,-8214574.17144388,0.002568959644122515,100386.23292214636
1980-01-27,284.84542895593927,292.95507719712833,1.59204028840075E7,-7548258.693276186,8.642672355563263E-4,100208.05893767024
1980-01-28,290.8976459819958,294.3543721124182,1.3665637690865258E7,-5376741.993035093,0.659432965726211,100049.84087812666
1980-01-29,290.2464364872138,294.1472162562978,1.1831442523439597E7,-4577203.101526923,0.8419157391797752,100042.6016720243
1980-01-30,280.53312994320595,291.6284250887348,1.5798905440128583E7,-8498839.468523974,0.006037237469336608,100339.40068745674
1980-01-31,280.2474202710354,291.03472090086797,1.6824453758371286E7,-8905668.278596304,0.0017302836421339712,100473.49512032673
1980-02-01,281.86693896867513,291.1160919558354,1.6723455927672116E7,-8430997.177605143,4.351138045421976E-4,100560.873632298
1980-02-02,282.44477918290886,291.5984191027633,1.681787255504956E7,-8596103.962496651,8.523463748133508E-4,100621.48809490175
1980-02-03,283.56088506840143,293.5448492593303,1.6237197726761322E7,-6642282.897401553,2.1555389886626664E-6,100574.82824904325
1980-02-04,290.0339786608908,293.7607472899429,1.088062327564961E7,-3939137.8156978297,1.5742977310177324,100574.90204674382
1980-02-05,291.64092985473906,292.37806638303283,4269405.833377981,-2150146.189659791,9.46332743588184,100487.50887983864
1980-02-06,290.7135158960858,292.8553697335868,1.1789504589874094E7,-4472523.11867131,2.0052245400168687,100524.45402478214
1980-02-07,281.470485353951,290.7516914110161,1.6361360939191002E7,-8384502.375033486,0.0031399066873945346,100674.3855916352
1980-02-08,279.64525156662353,290.22947918792863,1.7827108695954993E7,-9326971.917492634,4.410743663640915E-4,100752.2925076318
1980-02-09,281.1583020049916,290.73762858864535,1.7652913799089205E7,-8673547.79801768,8.583068051848386E-4,100676.2563014834
1980-02-10,282.7209258411216,292.18581263207255,1.7614715072595768E7,-8310919.4111974295,0.002142786968306609,100633.24900926734
1980-02-11,283.4956838420612,292.3707053539358,1.7373636888293594E7,-8076041.015269222,0.002571940342477319,100854.32406091645
1980-02-12,282.18740944683964,292.8559355249958,1.7778490234128047E7,-8547872.209482988,8.553265615773853E-4,100746.70334858302
1980-02-13,283.1265154931469,293.29856352163586,1.7828559043664616E7,-8356447.3766407715,8.607399877291755E-4,100602.42614557526
1980-02-14,284.34792471012906,293.9153959778592,1.7810991253147602E7,-8155484.757299758,0.0012909874840261182,100560.57184021556
1980-02-15,285.56692871688483,294.93207275349073,1.7708632170372352E7,-7470291.6297883745,8.70227722771233E-4,100547.7627440142
1980-02-16,288.4299925068296,295.6696175410818,1.6312065404768284E7,-6250260.965711224,0.47718114342882595,100520.93621714445
1980-02-17,290.3574527834492,294.6261590125997,1.5115091621751945E7,-5070114.9121350115,1.8070375431052885,100560.83712918704
1980-02-18,290.2895567558718,294.22775588030055,1.2212128730779534E7,-4816117.801232252,0.3887992080783748,100629.17063334688
1980-02-19,287.2679180167746,294.9990713015785,1.6209648942941332E7,-6785865.171443879,0.007396329126621234,100720.74858856678
1980-02-20,286.8368028820769,295.93420035941904,1.6328072978301637E7,-7032403.867398877,5.087614434982576E-4,100716.88818045451
1980-02-21,286.9416747479388,295.89212579639457,1.697815617412269E7,-7012164.268684705,4.351138045421976E-4,100648.22198772455
1980-02-22,287.1420400791354,296.0217975434559,1.505531100776855E7,-6481618.768818644,0.0026608977111033587,100492.91515573725
